AASST			A_Asset
AASSTAC			A_Asset_Acct
AASSTADD		A_Asset_Addition
AASSTCHG		A_Asset_Change
AASSTCHGA		A_Asset_Change_Amt
AASSTDEL		A_Asset_Delivery
AASSTGRP		A_Asset_Group
AASSTGRPA		A_Asset_Group_Acct
AASSTMNT		A_Asset_Maintenance
AASSTMTU		A_Asset_MethodUse
AASSTRET		A_Asset_Retirement
AASSTT			A_Asset_Tracking
AASSTU			A_Asset_Use
ADACCL			AD_AccessLog
ADAD			AD_Archive_Documents
ADALRT			AD_Alert
ADALRTPL		AD_AlertProcessorLog
ADALRTPRC		AD_AlertProcessor
ADALRTR			AD_AlertRule
ADALRTRCP		AD_AlertRecipient
ADAR			AD_Attachment_Record
ADARCH			AD_Archive
ADATCH			AD_Attachment
ADATCHN			AD_AttachmentNote
ADATTR			AD_Attribute
ADATTRV			AD_Attribute_Value
ADCHGL			AD_ChangeLog
ADCLNT			AD_Client
ADCLNTINF		AD_ClientInfo
ADCN			AD_Client_Name
ADCNM			AD_Column_Name
ADCOL			AD_Column
ADCOLACC		AD_Column_Access
ADCOLOR			AD_Color
ADCOLTRL		AD_Column_Trl
ADDSKT			AD_Desktop
ADDSKTRL		AD_Desktop_Trl
ADDSKWB			AD_DesktopWorkbench
ADELEM			AD_Element
ADELEMT			AD_Element_Trl
ADEP			A_Depreciation
ADEPPLN			A_DepreciationPlan
ADERR			AD_Error
ADFC			AD_Field_Column
ADFLD			AD_Field
ADFLDGRP		AD_FieldGroup
ADFLDGRPT		AD_FieldGroup_Trl
ADFLDTRL		AD_Field_Trl
ADFND			AD_Find
ADFRM			AD_Form
ADFRMACC		AD_Form_Access
ADFRMTRL		AD_Form_Trl
ADIMG			AD_Image
ADIMPFMTR		AD_ImpFormat_Row
ADLBLPRT		AD_LabelPrinter
ADLBLPRTF		AD_LabelPrinterFunction
ADLNG			AD_Language
ADMNU			AD_Menu
ADMNUTRL		AD_Menu_Trl
ADMSG			AD_Message
ADMSGTRL		AD_Message_Trl
ADMV			AD_Message_Values
ADNTE			AD_Note
ADORG			AD_Org
ADORGINF		AD_OrgInfo
ADORGTYP		AD_OrgType
ADOV			AD_Org_Value
ADPA			AD_Preference_Attributes
ADPCN			AD_PrintColor_Name
ADPFC			AD_PrintForm_Client
ADPFIF			AD_PrintFormatItem_Format
ADPFN			AD_PrintFormat_Name
ADPFNM			AD_PrintFont_Name
ADPFT			AD_PrintFormat_Tables
ADPINST			AD_PInstance
ADPINSTL		AD_PInstance_Log
ADPINSTP		AD_PInstance_Para
ADPIR			AD_PInstance_Record
ADPPN			AD_PrintPaper_Name
ADPPP			AD_Process_Para_Process
ADPRC			AD_Process
ADPRCACC		AD_Process_Access
ADPRCP			AD_Process_Para
ADPRCPT			AD_Process_Para_Trl
ADPRCT			AD_Process_Trl
ADPREF			AD_Preference
ADPRTCLR		AD_PrintColor
ADPRTFI			AD_PrintFormatItem
ADPRTFIT		AD_PrintFormatItem_Trl
ADPRTFMT		AD_PrintFormat
ADPRTFNT		AD_PrintFont
ADPRTFRM		AD_PrintForm
ADPRTG			AD_PrintGraph
ADPRTLBL		AD_PrintLabel
ADPRTLL			AD_PrintLabelLine
ADPRTLLT		AD_PrintLableLine_Trl
ADPRTP			AD_PrintPaper
ADPRTTF			AD_PrintTableFormat
ADPVTACC		AD_Private_Access
ADRCDACC		AD_Record_Access
ADREF			AD_Reference
ADREFL			AD_Ref_List
ADREFLT			AD_Ref_List_Trl
ADREFT			AD_Reference_Trl
ADREFTBL		AD_Ref_Table
ADREG			AD_Registration
ADREPL			AD_Replication
ADREPLL			AD_Replication_Log
ADREPLR			AD_Replication_Run
ADREPLSTR		AD_ReplicationStrategy
ADREPLTBL		AD_ReplicationTable
ADRLV			AD_Ref_List_Value
ADRN			AD_Reference_Name
ADROACC			AD_Role_OrgAccess
ADRPTVW			AD_ReportView
ADRPTVWC		AD_ReportView_Col
ADSCHED			AD_Scheduler
ADSCHEDL		AD_SchedulerLog
ADSCHEDP		AD_Scheduler_Para
ADSCHEDR		AD_SchedulerRecipient
ADSEQ			AD_Sequence
ADSEQAUD		AD_Sequence_Audit
ADSEQNUM		AD_Sequence_No
ADSESS			AD_Session
